Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,ZAR/USD
2025-09-06,0.0567925
2025-09-05,0.0566343
2025-09-04,0.0563166
2025-09-03,0.0565576
2025-09-02,0.0565431
2025-09-01,0.0567591
2025-08-31,0.0565590
2025-08-30,0.0565649
2025-08-29,0.0564855
2025-08-28,0.0565434
2025-08-27,0.0564918
2025-08-26,0.0567170
2025-08-25,0.0569755
2025-08-24,0.0572331
2025-08-23,0.0572357
2025-08-22,0.0568296
2025-08-21,0.0564320
2025-08-20,0.0564931
2025-08-19,0.0566252
2025-08-18,0.0567454
2025-08-17,0.0567970
2025-08-16,0.0568015
2025-08-15,0.0568534
2025-08-14,0.0568703
2025-08-13,0.0570046
2025-08-12,0.0565788
2025-08-11,0.0563366
2025-08-10,0.0562489
2025-08-09,0.0562410
2025-08-08,0.0563869
2025-08-07,0.0563389

Period Average,0.0566449
Period Low,0.0562410
Period High,0.0572357
